escenario,metodo,base,n_replicas,delta_mse_promedio,delta_mse_error_estandar,delta_mse_ic_inferior,delta_mse_ic_superior,delta_mse_mejora,delta_mse_empeora,delta_mae_promedio,delta_mae_error_estandar,delta_mae_ic_inferior,delta_mae_ic_superior,delta_mae_mejora,delta_mae_empeora,delta_mape_promedio,delta_mape_error_estandar,delta_mape_ic_inferior,delta_mape_ic_superior,delta_mape_mejora,delta_mape_empeora,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion
p10_m5_temprana,mediana,clasico,1000,163906.69725161433,311857.38469301775,-447333.7767467005,775147.1712499291,False,False,-16.980769132706982,18.321200311392154,-52.89032174303561,18.928783477621643,False,False,-0.009848337756078176,0.0110481236351577,-0.03150266008098727,0.011805984568830917,False,False,0.1,5.0,temprana
p10_m5_temprana,ponderado,clasico,1000,939972.8955002835,340602.4899078913,272392.0152808165,1607553.7757197504,False,True,79.14108130425319,19.252193175119945,41.4067826810181,116.87537992748828,False,True,0.05307749893428605,0.01152570093514644,0.030487125101399032,0.07566787276717307,False,True,0.1,5.0,temprana
p10_m5_temprana,truncada,clasico,1000,4686048.7486873,728106.5718598703,3258959.8678419543,6113137.629532645,False,True,534.2234006492672,38.41647672449031,458.92710626926623,609.5196950292682,False,True,0.34227633790993456,0.023558392735274034,0.29610188814879745,0.38845078767107166,False,True,0.1,5.0,temprana
p20_m10_aleatoria,mediana,clasico,1000,-42121284.75610886,10645438.450981714,-62986344.12003301,-21256225.3921847,True,False,-1501.8376123821633,139.64186056512543,-1775.535659089809,-1228.1395656745176,True,False,-0.9023333781321949,0.08427581910692532,-1.0675139835817686,-0.7371527726826214,True,False,0.2,10.0,aleatoria
p20_m10_aleatoria,ponderado,clasico,1000,-19136652.78852377,9548131.916457588,-37850991.34478064,-422314.2322668992,True,False,-473.63504277700156,124.68526853905244,-718.0181691135443,-229.25191644045879,True,False,-0.26928987715627034,0.07660713133719693,-0.41943985457717636,-0.11913989973536435,True,False,0.2,10.0,aleatoria
p20_m10_aleatoria,truncada,clasico,1000,403367958.0130012,64672516.4558794,276609825.7594776,530126090.2665248,False,True,7863.503032868157,391.2699455041205,7096.613939680081,8630.392126056233,False,True,4.8832790783717375,0.2535222882829519,4.386375393337151,5.3801827634063235,False,True,0.2,10.0,aleatoria
p20_m10_tardia,mediana,clasico,1000,-25133347.739861675,3271124.544625147,-31544751.847326964,-18721943.632396385,True,False,-1664.375010284094,74.21441997707481,-1809.8352734391606,-1518.9147471290275,True,False,-1.0459777959145782,0.04688862703374162,-1.1378795049007118,-0.9540760869284446,True,False,0.2,10.0,tardia
p20_m10_tardia,ponderado,clasico,1000,-20193900.756281238,2842051.1979939328,-25764321.104349345,-14623480.408213131,True,False,-1298.5924235154707,63.088223889991326,-1422.2453423398538,-1174.9395046910877,True,False,-0.8154799387907787,0.03999662342034921,-0.8938733206946632,-0.7370865568868943,True,False,0.2,10.0,tardia
p20_m10_tardia,truncada,clasico,1000,25607696.821486756,2935907.6993571892,19853317.730746664,31362075.91222685,False,True,1104.5403222621587,59.604845384768936,987.7148253080117,1221.365819216306,False,True,0.6879674239746425,0.037552668555580135,0.6143641936057054,0.7615706543435796,False,True,0.2,10.0,tardia
p20_m10_temprana,mediana,clasico,1000,-1857360.139172699,1497805.5236319886,-4793058.965491396,1078338.6871459985,False,False,49.71768654436575,61.17966519205927,-70.19445723207042,169.62983032080191,False,False,0.040618663075748275,0.03894725175915337,-0.035717950372192324,0.11695527652368887,False,False,0.2,10.0,temprana
p20_m10_temprana,ponderado,clasico,1000,2974127.2066976815,1320527.8463144577,385892.62792134425,5562361.785474019,False,True,359.70362710752,61.07432749171834,239.99794522375203,479.40930899128796,False,True,0.23728709619349797,0.03910757826034032,0.16063624280323094,0.313937949583765,False,True,0.2,10.0,temprana
p20_m10_temprana,truncada,clasico,1000,71139064.81921118,16187895.607289629,39410789.42892352,102867340.20949885,False,True,2702.468090193746,185.14843830721364,2339.5771511116072,3065.3590292758845,False,True,1.6745528068649773,0.11281952623358336,1.4534265354471538,1.8956790782828008,False,True,0.2,10.0,temprana
p20_m2_aleatoria,mediana,clasico,1000,-178700.33032518913,37904.61803014487,-252993.3816642731,-104407.27898610519,True,False,-62.09763895627334,9.141212210932474,-80.01441488970099,-44.18086302284569,True,False,-0.041175162130789845,0.005662008282408412,-0.05227269836431033,-0.03007762589726936,True,False,0.2,2.0,aleatoria
p20_m2_aleatoria,ponderado,clasico,1000,150719.52073440392,28875.47675619432,94123.58629226306,207315.45517654478,False,True,59.50527582634734,7.621596813293227,44.56694607229261,74.44360558040206,False,True,0.03841690243606019,0.004749739800709425,0.02910741242666972,0.04772639244545066,False,True,0.2,2.0,aleatoria
p20_m2_aleatoria,truncada,clasico,1000,1519467.7252639262,118899.87038044733,1286423.9793182495,1752511.471209603,False,True,443.8792158130882,18.244660680791654,408.1196808787366,479.6387507474398,False,True,0.2824933183835859,0.011271027392492479,0.26040210469430064,0.3045845320728711,False,True,0.2,2.0,aleatoria
p20_m2_tardia,mediana,clasico,1000,3675.573593028344,36898.07927860451,-68644.6617930365,75995.80897909318,False,False,-13.82107916967552,8.283789088592842,-30.057305783317492,2.4151474439664504,False,False,-0.012520694707021104,0.005109596161281386,-0.02253550318313262,-0.002505886230909587,True,False,0.2,2.0,tardia
p20_m2_tardia,ponderado,clasico,1000,227519.97050106002,36220.24505916718,156528.29018509234,298511.65081702766,False,True,64.56106482998922,7.256796819900346,50.33774306298454,78.7843865969939,False,True,0.04150902858745328,0.004582572036135049,0.03252718739662858,0.05049086977827797,False,True,0.2,2.0,tardia
p20_m2_tardia,truncada,clasico,1000,1149390.8361338086,154319.8540099774,846923.9222742529,1451857.7499933643,False,True,326.2657288872884,16.5141184376833,293.89805674942914,358.63340102514763,False,True,0.210451791898664,0.010518673974608778,0.1898351909084308,0.23106839288889722,False,True,0.2,2.0,tardia
p20_m2_temprana,mediana,clasico,1000,22124.33874428907,20810.699983639883,-18664.6332236451,62913.31071222325,False,False,9.782856977645654,6.75363561975001,-3.4542688370643653,23.019982792355673,False,False,0.005572049719051342,0.00423147473142921,-0.0027216407545499113,0.013865740192652595,False,False,0.2,2.0,temprana
