escenario,metodo,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion,n_replicas,sesgo,mse,rmse,mae,mape,error_porcentual_promedio,desviacion_estandar_estimaciones,tasa_sobreestimacion,tasa_subestimacion,error_absoluto_mediano,error_estandar_monte_carlo_sesgo,error_estandar_monte_carlo_mape,error_estandar_monte_carlo_mae,sesgo_ic_inferior,sesgo_ic_superior,mape_ic_inferior,mape_ic_superior,mae_ic_inferior,mae_ic_superior
p10_m2_tardia,clasico,0.1,2.0,tardia,1000.0,178.81271065264755,507035.9673977858,712.0645809179009,524.585420697538,0.32623026990917975,0.1352316209866941,637.6708702401428,0.561,0.439,398.4647312332362,21.806822772386276,0.010135453721518504,15.234112444489313,136.07133801877046,221.55408328652464,0.3063647806150035,0.346095759203356,494.7265603063389,554.4442810887371
p10_m2_tardia,mediana,0.1,2.0,tardia,1000.0,122.62312941998633,510153.1433302437,714.2500565839975,529.9289009744974,0.3272545763914274,0.10113135438468955,650.455896551087,0.518,0.482,409.978952443101,22.26235216200836,0.010014139250122867,15.151173594923545,78.98891918244995,166.25733965752272,0.3076268634611866,0.3468822893216682,500.23260072844727,559.6252012205475
p10_m2_tardia,ponderado,0.1,2.0,tardia,1000.0,263.0528659531469,635390.7443198626,797.1140096120897,578.510483960498,0.3609627901484583,0.1872402521674569,705.0540524665907,0.591,0.409,433.8782277621418,23.80673633088809,0.011602297465194531,17.34985249647104,216.39166274460626,309.7140691616876,0.338222287116677,0.38370329318023955,544.5047730674148,612.5161948535813
p10_m2_tardia,truncada,0.1,2.0,tardia,1000.0,582.431602575877,1293926.3590920693,1137.5088391270062,771.9654418534932,0.48795382990505015,0.3849034282547102,938.5583306652405,0.707,0.293,526.8930858978762,30.9136772781211,0.017608678125609283,26.432828264983225,521.8407951107597,643.0224100409944,0.45344082077885595,0.5224668390312444,720.1570984541261,823.7737852528603
p10_m2_temprana,clasico,0.1,2.0,temprana,1000.0,94.1223401037229,518114.145520012,719.8014625714594,537.240572541897,0.3286685853470505,0.08288319255581857,658.5664408293184,0.483,0.517,431.99026806507277,22.5779736803133,0.009878479334607152,15.156398951071154,49.86951169030884,138.37516851713696,0.3093067658512205,0.3480304048428805,507.53403059779754,566.9471144859965
p10_m2_temprana,mediana,0.1,2.0,temprana,1000.0,91.03798483405679,577540.2827972713,759.9607113511008,565.0748121475026,0.344024481800545,0.08047884010191661,703.618859241177,0.469,0.531,453.48977963693596,23.870948667887713,0.010278827188018693,16.077600215904063,44.25092544499687,137.82504422311672,0.3238779805120284,0.36417098308906165,533.5627157243306,596.5869085706746
p10_m2_temprana,ponderado,0.1,2.0,temprana,1000.0,229.0674540125315,705471.6677599025,839.9236082882196,604.3816656296127,0.37263753233382024,0.16532816901381892,760.257901635937,0.55,0.45,465.38683309792987,25.56664668459308,0.01200030279758921,18.453590572452107,178.95682651072906,279.17808151433394,0.3491169388505454,0.3961581258170951,568.2126281076066,640.5507031516188
p10_m2_temprana,truncada,0.1,2.0,temprana,1000.0,557.116745292164,1238605.2277171798,1112.9264251140683,782.2052402955659,0.4897002963347655,0.36634035083662286,924.7793008638088,0.697,0.303,533.3424410459911,30.482049064119582,0.016436012482372815,25.04770602966836,497.3719291264896,616.8615614578383,0.45748571186931475,0.5219148808002162,733.1117364774159,831.2987441137159
p10_m5_aleatoria,clasico,0.1,5.0,aleatoria,1000.0,944.3216597802169,4188645.1466828003,2046.6179777092746,1199.3384896666034,0.7470805395225661,0.6088038707975291,1781.7051642917727,0.712,0.288,679.2948546570381,57.44738420071223,0.033646566144078176,52.46889858960484,831.724786746821,1056.918532813613,0.6811332698801729,0.8130278091649594,1096.499448430978,1302.177530902229
p10_m5_aleatoria,mediana,0.1,5.0,aleatoria,1000.0,635.3102679008672,2878765.366303211,1696.692478412989,969.7593588976114,0.6041119392193887,0.42147456062058836,1534.10461967884,0.613,0.387,546.0127926568124,49.775735591315936,0.028728899074771674,44.04852352302245,537.749826141888,732.8707096598464,0.5478032970328361,0.6604205814059412,883.4242527924873,1056.0944650027354
